
Ingesting: /home/varjitt/Downloads/2016-2021 Lexus GX460 Repair Manual 
(RM27D0U).pdf
Vehicle: Lexus GX460 (2016-2021)

Initializing databases...
PostgreSQL ready.
Databases ready.


Extracted 494 pages with text.

Created 135 chunks.

Skipping 26 already-ingested chunks.
109 new chunks to process.

Creating vehicle nodes...
Created 6 vehicle nodes.

  [1/109] chunk 8: 0 nodes, 0 rels
  [2/109] chunk 3: 0 nodes, 0 rels
  [3/109] chunk 2: 0 nodes, 0 rels
  [4/109] chunk 7: 0 nodes, 0 rels
  [5/109] chunk 5: 0 nodes, 0 rels
  [6/109] chunk 1: 0 nodes, 0 rels
  [7/109] chunk 4: 0 nodes, 0 rels
  [8/109] chunk 6: 0 nodes, 0 rels
  [9/109] chunk 16: 0 nodes, 0 rels
  [10/109] chunk 10: 0 nodes, 0 rels
  [11/109] chunk 13: 0 nodes, 0 rels
  [12/109] chunk 12: 0 nodes, 0 rels
  [13/109] chunk 9: 0 nodes, 0 rels
  [14/109] chunk 11: 0 nodes, 0 rels
  [15/109] chunk 14: 0 nodes, 0 rels
  [16/109] chunk 17: 0 nodes, 0 rels
  [17/109] chunk 15: 0 nodes, 0 rels
  [18/109] chunk 18: 0 nodes, 0 rels
  [19/109] chunk 19: 0 nodes, 0 rels
  [20/109] chunk 21: 0 nodes, 0 rels
  [21/109] chunk 20: 0 nodes, 0 rels
  [22/109] chunk 23: 0 nodes, 0 rels
  [23/109] chunk 22: 0 nodes, 0 rels
  [24/109] chunk 24: 0 nodes, 0 rels
  [25/109] chunk 26: 0 nodes, 0 rels
  [26/109] chunk 25: 0 nodes, 0 rels
  [27/109] chunk 28: 0 nodes, 0 rels
  [28/109] chunk 27: 0 nodes, 0 rels
  [29/109] chunk 29: 0 nodes, 0 rels
  [30/109] chunk 31: 0 nodes, 0 rels
  [31/109] chunk 30: 0 nodes, 0 rels
  [32/109] chunk 32: 0 nodes, 0 rels
  [33/109] chunk 34: 0 nodes, 0 rels
  [34/109] chunk 33: 0 nodes, 0 rels
  [35/109] chunk 35: 0 nodes, 0 rels
  [36/109] chunk 36: 0 nodes, 0 rels
  [37/109] chunk 37: 0 nodes, 0 rels
  [38/109] chunk 39: 0 nodes, 0 rels
  [39/109] chunk 40: 0 nodes, 0 rels
  [40/109] chunk 41: 0 nodes, 0 rels
  [41/109] chunk 38: 0 nodes, 0 rels
  [42/109] chunk 43: 0 nodes, 0 rels
  [43/109] chunk 42: 0 nodes, 0 rels
  [44/109] chunk 45: 0 nodes, 0 rels
  [45/109] chunk 47: 0 nodes, 0 rels
  [46/109] chunk 46: 0 nodes, 0 rels
  [47/109] chunk 48: 0 nodes, 0 rels
  [48/109] chunk 50: 0 nodes, 0 rels
  [49/109] chunk 49: 0 nodes, 0 rels
  [50/109] chunk 52: 0 nodes, 0 rels
  [51/109] chunk 44: 0 nodes, 0 rels
  [52/109] chunk 53: 0 nodes, 0 rels
  [53/109] chunk 51: 0 nodes, 0 rels
  [54/109] chunk 56: 0 nodes, 0 rels
  [55/109] chunk 55: 0 nodes, 0 rels
  [56/109] chunk 54: 0 nodes, 0 rels
  [57/109] chunk 58: 0 nodes, 0 rels
  [58/109] chunk 59: 0 nodes, 0 rels
  [59/109] chunk 60: 0 nodes, 0 rels
  [60/109] chunk 61: 0 nodes, 0 rels
  [61/109] chunk 57: 0 nodes, 0 rels
  [62/109] chunk 62: 0 nodes, 0 rels
  [63/109] chunk 65: 0 nodes, 0 rels
  [64/109] chunk 63: 0 nodes, 0 rels
  [65/109] chunk 66: 0 nodes, 0 rels
  [66/109] chunk 67: 0 nodes, 0 rels
  [67/109] chunk 64: 0 nodes, 0 rels
  [68/109] chunk 69: 0 nodes, 0 rels
  [69/109] chunk 68: 0 nodes, 0 rels
  [70/109] chunk 71: 0 nodes, 0 rels
  [71/109] chunk 70: 0 nodes, 0 rels
  [72/109] chunk 72: 0 nodes, 0 rels
  [73/109] chunk 74: 0 nodes, 0 rels
  [74/109] chunk 73: 0 nodes, 0 rels
  [75/109] chunk 75: 0 nodes, 0 rels
